Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 16 20
    becker.robots.Wall 11 3 Direction.WEST
    becker.robots.Wall 2 3 Direction.EAST
    becker.robots.Wall 3 3 Direction.EAST
    becker.robots.Wall 4 3 Direction.EAST
    becker.robots.Wall 5 3 Direction.EAST
    becker.robots.Wall 6 3 Direction.EAST
    becker.robots.Wall 7 3 Direction.EAST
    becker.robots.Wall 8 3 Direction.EAST
    becker.robots.Wall 9 3 Direction.EAST
    becker.robots.Wall 10 3 Direction.EAST
    becker.robots.Wall 11 3 Direction.EAST
    becker.robots.Wall 3 9 Direction.WEST
    becker.robots.Wall 4 9 Direction.WEST
    becker.robots.Wall 5 9 Direction.WEST
    becker.robots.Wall 6 9 Direction.WEST
    becker.robots.Wall 7 9 Direction.WEST
    becker.robots.Wall 8 9 Direction.WEST
    becker.robots.Wall 9 9 Direction.WEST
    becker.robots.Wall 10 9 Direction.WEST
    becker.robots.Wall 2 9 Direction.EAST
    becker.robots.Wall 3 9 Direction.EAST
    becker.robots.Wall 4 9 Direction.EAST
    becker.robots.Wall 5 9 Direction.EAST
    becker.robots.Wall 8 9 Direction.EAST
    becker.robots.Wall 9 9 Direction.EAST
    becker.robots.Wall 10 9 Direction.EAST
    becker.robots.Wall 11 9 Direction.EAST
    becker.robots.Wall 2 10 Direction.WEST
    becker.robots.Wall 3 10 Direction.WEST
    becker.robots.Wall 4 10 Direction.WEST
    becker.robots.Wall 5 10 Direction.WEST
    becker.robots.Wall 8 10 Direction.WEST
    becker.robots.Wall 9 10 Direction.WEST
    becker.robots.Wall 10 10 Direction.WEST
    becker.robots.Wall 11 10 Direction.WEST
    becker.robots.Wall 3 10 Direction.EAST
    becker.robots.Wall 4 10 Direction.EAST
    becker.robots.Wall 5 10 Direction.EAST
    becker.robots.Wall 6 10 Direction.EAST
    becker.robots.Wall 7 10 Direction.EAST
    becker.robots.Wall 8 10 Direction.EAST
    becker.robots.Wall 9 10 Direction.EAST
    becker.robots.Wall 10 10 Direction.EAST
    becker.robots.Wall 3 11 Direction.WEST
    becker.robots.Wall 4 11 Direction.WEST
    becker.robots.Wall 5 11 Direction.WEST
    becker.robots.Wall 6 11 Direction.WEST
    becker.robots.Wall 7 11 Direction.WEST
    becker.robots.Wall 8 11 Direction.WEST
    becker.robots.Wall 9 11 Direction.WEST
    becker.robots.Wall 10 11 Direction.WEST
    becker.robots.Wall 2 11 Direction.EAST
    becker.robots.Wall 3 11 Direction.EAST
    becker.robots.Wall 4 11 Direction.EAST
    becker.robots.Wall 5 11 Direction.EAST
    becker.robots.Wall 8 11 Direction.EAST
    becker.robots.Wall 9 11 Direction.EAST
    becker.robots.Wall 10 11 Direction.EAST
    becker.robots.Wall 11 11 Direction.EAST
    becker.robots.Wall 2 12 Direction.WEST
    becker.robots.Wall 3 12 Direction.WEST
    becker.robots.Wall 4 12 Direction.WEST
    becker.robots.Wall 5 12 Direction.WEST
    becker.robots.Wall 8 12 Direction.WEST
    becker.robots.Wall 9 12 Direction.WEST
    becker.robots.Wall 10 12 Direction.WEST
    becker.robots.Wall 11 12 Direction.WEST
    becker.robots.Wall 3 12 Direction.EAST
    becker.robots.Wall 4 12 Direction.EAST
    becker.robots.Wall 5 12 Direction.EAST
    becker.robots.Wall 6 12 Direction.EAST
    becker.robots.Wall 7 12 Direction.EAST
    becker.robots.Wall 8 12 Direction.EAST
    becker.robots.Wall 9 12 Direction.EAST
    becker.robots.Wall 10 12 Direction.EAST
    becker.robots.Wall 2 9 Direction.NORTH
    becker.robots.Wall 2 10 Direction.NORTH
    becker.robots.Wall 2 11 Direction.NORTH
    becker.robots.Wall 2 12 Direction.NORTH
    becker.robots.Wall 11 9 Direction.SOUTH
    becker.robots.Wall 11 10 Direction.SOUTH
    becker.robots.Wall 11 11 Direction.SOUTH
    becker.robots.Wall 11 12 Direction.SOUTH
    becker.robots.Wall 7 9 Direction.NORTH
    becker.robots.Wall 7 10 Direction.NORTH
    becker.robots.Wall 7 11 Direction.NORTH
    becker.robots.Wall 7 12 Direction.NORTH
    becker.robots.Wall 6 9 Direction.SOUTH
    becker.robots.Wall 6 10 Direction.SOUTH
    becker.robots.Wall 6 11 Direction.SOUTH
    becker.robots.Wall 6 12 Direction.SOUTH
    becker.robots.Wall 2 16 Direction.NORTH
    becker.robots.Wall 2 16 Direction.EAST
    becker.robots.Wall 2 16 Direction.SOUTH
    becker.robots.Wall 3 16 Direction.NORTH
    becker.robots.Wall 3 16 Direction.EAST
    becker.robots.Wall 3 16 Direction.SOUTH
    becker.robots.Wall 4 16 Direction.NORTH
    becker.robots.Wall 4 16 Direction.EAST
    becker.robots.Wall 4 16 Direction.SOUTH
    becker.robots.Wall 5 16 Direction.NORTH
    becker.robots.Wall 5 16 Direction.EAST
    becker.robots.Wall 5 16 Direction.SOUTH
    becker.robots.Wall 6 16 Direction.NORTH
    becker.robots.Wall 6 16 Direction.EAST
    becker.robots.Wall 6 16 Direction.SOUTH
    becker.robots.Wall 7 16 Direction.NORTH
    becker.robots.Wall 7 16 Direction.EAST
    becker.robots.Wall 7 16 Direction.SOUTH
    becker.robots.Wall 8 16 Direction.NORTH
    becker.robots.Wall 8 16 Direction.EAST
    becker.robots.Wall 8 16 Direction.SOUTH
    becker.robots.Wall 9 16 Direction.NORTH
    becker.robots.Wall 9 16 Direction.EAST
    becker.robots.Wall 9 16 Direction.SOUTH
    becker.robots.Wall 10 16 Direction.NORTH
    becker.robots.Wall 10 16 Direction.EAST
    becker.robots.Wall 10 16 Direction.SOUTH
    becker.robots.Wall 11 16 Direction.NORTH
    becker.robots.Wall 11 16 Direction.EAST
    becker.robots.Wall 11 16 Direction.SOUTH

    becker.robots.Wall 2 17 Direction.NORTH
    becker.robots.Wall 2 17 Direction.WEST
    becker.robots.Wall 2 17 Direction.SOUTH
    becker.robots.Wall 3 17 Direction.NORTH
    becker.robots.Wall 3 17 Direction.WEST
    becker.robots.Wall 3 17 Direction.SOUTH
    becker.robots.Wall 4 17 Direction.NORTH
    becker.robots.Wall 4 17 Direction.WEST
    becker.robots.Wall 4 17 Direction.SOUTH
    becker.robots.Wall 5 17 Direction.NORTH
    becker.robots.Wall 5 17 Direction.WEST
    becker.robots.Wall 5 17 Direction.SOUTH
    becker.robots.Wall 6 17 Direction.NORTH
    becker.robots.Wall 6 17 Direction.WEST
    becker.robots.Wall 6 17 Direction.SOUTH
    becker.robots.Wall 7 17 Direction.NORTH
    becker.robots.Wall 7 17 Direction.WEST
    becker.robots.Wall 7 17 Direction.SOUTH
    becker.robots.Wall 8 17 Direction.NORTH
    becker.robots.Wall 8 17 Direction.WEST
    becker.robots.Wall 8 17 Direction.SOUTH
    becker.robots.Wall 9 17 Direction.NORTH
    becker.robots.Wall 9 17 Direction.WEST
    becker.robots.Wall 9 17 Direction.SOUTH
    becker.robots.Wall 10 17 Direction.NORTH
    becker.robots.Wall 10 17 Direction.WEST
    becker.robots.Wall 10 17 Direction.SOUTH
    becker.robots.Wall 11 17 Direction.NORTH
    becker.robots.Wall 11 17 Direction.WEST
    becker.robots.Wall 11 17 Direction.SOUTH




    


